date,window,fixed_10pct,raw_gate,debounce_2of3,debounce_3of3,fixed_10pct_00713_weight,raw_gate_00713_weight
2025-07-01,ncf_panel_2025_2026,1034511.2271344919,1030954.8894571459,1032781.9965991862,1033009.6725564878,0.1,0.1
2025-07-02,ncf_panel_2025_2026,1035316.3155694794,1031757.2102408409,1033585.7392938194,1033813.592435549,0.1,0.1
2025-07-03,ncf_panel_2025_2026,1048778.206911979,1045172.8236598785,1047025.1284991145,1047255.9443433438,0.1,0.1
2025-07-04,ncf_panel_2025_2026,1039284.5777622818,1035711.8307447182,1037547.3683636783,1037776.094843338,0.1,0.1
2025-07-07,ncf_panel_2025_2026,1033210.3798561455,1029658.5140995162,1031483.3237436749,1031710.713409594,0.1,0.1
2025-07-08,ncf_panel_2025_2026,1029260.0828927645,1025721.7970660182,1027539.6298735746,1027766.1501553641,0.1,0.1
2025-07-09,ncf_panel_2025_2026,1037923.5467087863,1034355.4785056124,1036188.6123328173,1036417.0392758069,0.1,0.1
2025-07-10,ncf_panel_2025_2026,1046975.5081915543,1043376.3220741125,1045225.4430680498,1045455.8621730788,0.1,0.1
2025-07-11,ncf_panel_2025_2026,1052792.2057206598,1049173.0235509395,1051032.4177341082,1051264.1169820142,0.1,0.1
2025-07-14,ncf_panel_2025_2026,1046211.1427269302,1042614.5842674873,1044462.3552735628,1044692.6061565038,0.1,0.1
2025-07-15,ncf_panel_2025_2026,1058692.7418983022,1055053.2754643082,1056923.090908754,1057156.0887508052,0.1,0.1
2025-07-16,ncf_panel_2025_2026,1066736.2091370563,1063069.0916879287,1064953.1131419886,1065187.8811959578,0.1,0.1
2025-07-17,ncf_panel_2025_2026,1073352.7230126727,1069662.8599838244,1071558.5672267291,1071794.7914477182,0.1,0.1
2025-07-18,ncf_panel_2025_2026,1085909.4565308671,1082176.4272382376,1084094.3116184124,1084333.2993341314,0.1,0.1
2025-07-21,ncf_panel_2025_2026,1082440.8100894708,1078719.704957455,1080631.463170489,1080869.6875040636,0.1,0.1
2025-07-22,ncf_panel_2025_2026,1073819.9960093165,1070128.5266367958,1072025.0591562244,1072261.3862149825,0.1,0.1
2025-07-23,ncf_panel_2025_2026,1079596.600140899,1075885.2725451118,1077792.0074426187,1078029.6058204705,0.1,0.1
2025-07-24,ncf_panel_2025_2026,1085068.829670681,1081338.6901997346,1083255.089902605,1083493.8926125744,0.1,0.1
2025-07-25,ncf_panel_2025_2026,1082712.3305187,1078990.2919813162,1080902.5297415047,1081140.813831486,0.1,0.1
2025-07-28,ncf_panel_2025_2026,1086335.8830169674,1082601.387798653,1084520.0253140843,1084759.1068780439,0.1,0.1
2025-07-29,ncf_panel_2025_2026,1074698.4232974208,1071003.9341567436,1072902.0181148897,1073138.5384985425,0.1,0.1
2025-07-30,ncf_panel_2025_2026,1085047.365152098,1081317.2994696943,1083233.6612628985,1083472.4592489416,0.1,0.1
