,0050.TW,0056.TW,00646.TW,00679B.TWO,00713.TW,00751B.TWO,00878.TW,2884.TW,total,daily_return,cumulative_return
2026-02-26 00:00:00+08:00,84071.40158081055,646389.937664032,2180.800048828125,633649.9824523926,249284.49604797363,32075.53482055664,328466.6368331909,701.9999694824219,1976820.7894172668,0.0033293984061468773,10.137697852007605
2026-03-02 00:00:00+08:00,83242.59841918945,640132.9870071411,2161.60009765625,644000.0,247437.9391937256,32263.111114501953,323485.6683883667,698.0000305175781,1973421.9042510986,-0.0017193693957306966,10.137697852007605
2026-03-03 00:00:00+08:00,81585.0,627779.5878181458,2172.800048828125,639629.9877166748,245822.21088409424,32154.51431274414,317536.2105560303,698.0000305175781,1947378.311367035,-0.013197174323423266,10.137697852007605
2026-03-04 00:00:00+08:00,78321.59841918945,605479.1932220459,2163.199951171875,641699.9912261963,239359.27976989746,32272.98355102539,305222.1526107788,673.0000305175781,1905191.3987808228,-0.02166343968193707,10.137697852007605
2026-03-05 00:00:00+08:00,80186.40158081055,617672.1529579163,2184.0,635260.0193023682,242590.73638916016,32194.00405883789,309926.39472198486,680.9999847412109,1920694.708995819,0.00813740300576482,10.137697852007605
2026-03-06 00:00:00+08:00,79616.59841918945,619757.8658485413,2182.39990234375,635949.9912261963,242821.56493377686,32253.23486328125,309788.0315551758,680.0,1923049.6867485046,0.0012261072734025547,10.137697852007605
2026-03-09 00:00:00+08:00,76249.59841918945,602912.2246437073,2126.39990234375,633649.9824523926,238205.17279815674,31937.318801879883,300933.0,666.9999694824219,1886680.696987152,-0.0189121425265123,10.137697852007605
2026-03-10 00:00:00+08:00,77907.1968383789,607725.2828941345,2169.60009765625,640550.0087738037,238666.82988739014,32411.197662353516,304392.0,668.0000305175781,1904490.1161842346,0.009439551284709857,10.137697852007605
2026-03-11 00:00:00+08:00,81015.1968383789,619918.2426300049,2174.39990234375,634339.9982452393,241205.8366241455,32045.917510986328,310756.5473327637,665.9999847412109,1922122.1390686035,0.00925813304807055,10.137697852007605
2026-03-12 00:00:00+08:00,79357.59841918945,618153.4713172913,2147.199951171875,627440.0157928467,240513.3688659668,31572.040557861328,308127.72633361816,660.9999847412109,1907972.4212226868,-0.007361508178025167,10.137697852007605
2026-03-13 00:00:00+08:00,78684.1968383789,617672.1529579163,2147.199951171875,628820.0035095215,240282.55819702148,31552.295684814453,308542.7894439697,660.9999847412109,1908362.1965675354,0.00020428772476632773,10.137697852007605
2026-03-16 00:00:00+08:00,78321.59841918945,622645.6506614685,2152.0,630890.007019043,242129.11505126953,31591.785430908203,310341.4842224121,644.0000152587891,1918715.6408195496,0.005425303577400786,10.137697852007605
2026-03-17 00:00:00+08:00,79409.40158081055,627779.5878181458,2147.199951171875,628359.992980957,243514.01481628418,31512.805938720703,312970.3316116333,645.0,1926338.3346977234,0.003972810621858391,10.137697852007605
2026-03-18 00:00:00+08:00,80600.8031616211,632432.0812721252,2161.60009765625,632500.0,244668.1217880249,31838.59634399414,316152.60527801514,645.0,1940998.8079414368,0.007610539114362824,10.137697852007605
2026-03-19 00:00:00+08:00,78736.0,623768.7268333435,2129.60009765625,629739.9806976318,242359.92572021484,31729.999542236328,310894.91049957275,634.0000152587891,1919993.1434059143,-0.01082209038438331,10.137697852007605
